"Notes"	"County of Residence"	"County of Residence Code"	"Sex of Infant"	"Sex of Infant Code"	"NICU Admission"	"NICU Admission Code"	"OE Gestational Age Recode 10"	"OE Gestational Age Recode 10 Code"	Births	% of Total Births
	"San Diego County, CA"	"06073"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	67	0.00%
	"Unidentified Counties, CA"	"06999"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	67	0.00%
	"Kent County, DE"	"10001"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	67	0.00%
	"Mecklenburg County, NC"	"37119"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	67	0.00%
	"Onslow County, NC"	"37133"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	67	0.00%
	"Butler County, OH"	"39017"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	67	0.00%
	"Franklin County, OH"	"39049"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	67	0.00%
	"Hamilton County, OH"	"39061"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	67	0.00%
	"Lorain County, OH"	"39093"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	67	0.00%
	"Lucas County, OH"	"39095"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	67	0.00%
	"Palm Beach County, FL"	"12099"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	67	0.00%
	"Clackamas County, OR"	"41005"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	67	0.00%
	"Washington County, OR"	"41067"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	67	0.00%
	"Chester County, PA"	"42029"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	67	0.00%
	"Northampton County, PA"	"42095"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	67	0.00%
	"McHenry County, IL"	"17111"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	67	0.00%
	"Unidentified Counties, IL"	"17999"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	67	0.00%
	"Allen County, IN"	"18003"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	67	0.00%
	"Berkeley County, SC"	"45015"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	67	0.00%
	"Montgomery County, TN"	"47125"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	67	0.00%
	"Rutherford County, TN"	"47149"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	67	0.00%
	"Rutherford County, TN"	"47149"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	67	0.00%
	"Denton County, TX"	"48121"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	67	0.00%
	"Ector County, TX"	"48135"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	67	0.00%
	"Hays County, TX"	"48209"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	67	0.00%
	"Hidalgo County, TX"	"48215"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	67	0.00%
	"Linn County, IA"	"19113"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	67	0.00%
	"Unidentified Counties, IA"	"19999"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	67	0.00%
	"Unidentified Counties, KS"	"20999"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	67	0.00%
	"Fayette County, KY"	"21067"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	67	0.00%
	"Bronx County, NY"	"36005"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	67	0.00%
	"Kings County, NY"	"36047"	"Female"	"F"	"No"	"2"	"42 weeks or more"	"09"	67	0.00%
	"Suffolk County, NY"	"36103"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	67	0.00%
	"Genesee County, MI"	"26049"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	68	0.00%
	"Ingham County, MI"	"26065"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	68	0.00%
	"Unidentified Counties, MI"	"26999"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	68	0.00%
	"Unidentified Counties, WI"	"55999"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	68	0.00%
	"Saline County, AR"	"05125"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	68	0.00%
	"Merced County, CA"	"06047"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	68	0.00%
	"Unidentified Counties, MN"	"27999"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	68	0.00%
	"Greene County, MO"	"29077"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	68	0.00%
	"St. Louis city, MO"	"29510"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	68	0.00%
	"Washoe County, NV"	"32031"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	68	0.00%
	"San Francisco County, CA"	"06075"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	68	0.00%
	"Solano County, CA"	"06095"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	68	0.00%
	"Tulare County, CA"	"06107"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	68	0.00%
	"Denver County, CO"	"08031"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	68	0.00%
	"Guilford County, NC"	"37081"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	68	0.00%
	"Butler County, OH"	"39017"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	68	0.00%
	"Osceola County, FL"	"12097"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	68	0.00%
	"Unidentified Counties, FL"	"12999"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	68	0.00%
	"Unidentified Counties, FL"	"12999"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	68	0.00%
	"Lehigh County, PA"	"42077"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	68	0.00%
	"Northampton County, PA"	"42095"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	68	0.00%
	"St. Joseph County, IN"	"18141"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	68	0.00%
	"Spartanburg County, SC"	"45083"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	68	0.00%
	"Knox County, TN"	"47093"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	68	0.00%
	"Unidentified Counties, TN"	"47999"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	68	0.00%
	"Galveston County, TX"	"48167"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	68	0.00%
	"Salt Lake County, UT"	"49035"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	68	0.00%
	"King County, WA"	"53033"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	68	0.00%
	"King County, WA"	"53033"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	68	0.00%
	"Kings County, NY"	"36047"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	68	0.00%
	"Saratoga County, NY"	"36091"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	68	0.00%
	"Howard County, MD"	"24027"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	69	0.00%
	"Hampden County, MA"	"25013"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	69	0.00%
	"Middlesex County, MA"	"25017"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	69	0.00%
	"Unidentified Counties, MA"	"25999"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	69	0.00%
	"Saginaw County, MI"	"26145"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	69	0.00%
	"Dakota County, MN"	"27037"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	69	0.00%
	"Hennepin County, MN"	"27053"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	69	0.00%
	"Hennepin County, MN"	"27053"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	69	0.00%
	"Ramsey County, MN"	"27123"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	69	0.00%
	"Stearns County, MN"	"27145"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	69	0.00%
	"Mobile County, AL"	"01097"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	69	0.00%
	"Monterey County, CA"	"06053"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	69	0.00%
	"Clay County, MO"	"29047"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	69	0.00%
	"Washoe County, NV"	"32031"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	69	0.00%
	"Gloucester County, NJ"	"34015"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	69	0.00%
	"Mercer County, NJ"	"34021"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	69	0.00%
	"Passaic County, NJ"	"34031"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	69	0.00%
	"San Bernardino County, CA"	"06071"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	69	0.00%
	"San Diego County, CA"	"06073"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	69	0.00%
	"Douglas County, CO"	"08035"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	69	0.00%
	"Jefferson County, CO"	"08059"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	69	0.00%
	"Hartford County, CT"	"09003"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	69	0.00%
	"Cass County, ND"	"38017"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	69	0.00%
	"Cuyahoga County, OH"	"39035"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	69	0.00%
	"Lucas County, OH"	"39095"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	69	0.00%
	"Escambia County, FL"	"12033"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	69	0.00%
	"Hillsborough County, FL"	"12057"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	69	0.00%
	"Manatee County, FL"	"12081"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	69	0.00%
	"Chatham County, GA"	"13051"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	69	0.00%
	"Cherokee County, GA"	"13057"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	69	0.00%
	"Marion County, OR"	"41047"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	69	0.00%
	"Washington County, OR"	"41067"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	69	0.00%
	"Fayette County, PA"	"42051"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	69	0.00%
	"York County, PA"	"42133"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	69	0.00%
	"Delaware County, IN"	"18035"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	69	0.00%
	"Spartanburg County, SC"	"45083"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	69	0.00%
	"Spartanburg County, SC"	"45083"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	69	0.00%
	"Gregg County, TX"	"48183"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	69	0.00%
	"Johnson County, TX"	"48251"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	69	0.00%
	"Jefferson County, KY"	"21111"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	69	0.00%
	"Davis County, UT"	"49011"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	69	0.00%
	"Norfolk city, VA"	"51710"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	69	0.00%
	"Virginia Beach city, VA"	"51810"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	69	0.00%
	"Bronx County, NY"	"36005"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	69	0.00%
	"Suffolk County, NY"	"36103"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	69	0.00%
	"Unidentified Counties, MD"	"24999"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	70	0.00%
	"Bay County, MI"	"26017"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	70	0.00%
	"Wayne County, MI"	"26163"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	70	0.00%
	"Unidentified Counties, WI"	"55999"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	70	0.00%
	"Jefferson County, AL"	"01073"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	70	0.00%
	"Riverside County, CA"	"06065"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	70	0.00%
	"Rockingham County, NH"	"33015"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	70	0.00%
	"San Luis Obispo County, CA"	"06079"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	70	0.00%
	"Stanislaus County, CA"	"06099"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	70	0.00%
	"Larimer County, CO"	"08069"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	70	0.00%
	"Forsyth County, GA"	"13117"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	70	0.00%
	"Fulton County, GA"	"13121"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	70	0.00%
	"Bucks County, PA"	"42017"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	70	0.00%
	"Unidentified Counties, IL"	"17999"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	70	0.00%
	"Hamilton County, TN"	"47065"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	70	0.00%
	"Shelby County, TN"	"47157"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	70	0.00%
	"Fort Bend County, TX"	"48157"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	70	0.00%
	"Galveston County, TX"	"48167"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	70	0.00%
	"Kenton County, KY"	"21117"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	70	0.00%
	"Unidentified Counties, KY"	"21999"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	70	0.00%
	"Lafayette Parish, LA"	"22055"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	70	0.00%
	"Anne Arundel County, MD"	"24003"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	70	0.00%
	"Unidentified Counties, UT"	"49999"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	70	0.00%
	"Alexandria city, VA"	"51510"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	70	0.00%
	"Unidentified Counties, VA"	"51999"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	70	0.00%
	"Kings County, NY"	"36047"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	70	0.00%
	"Queens County, NY"	"36081"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	70	0.00%
	"Durham County, NC"	"37063"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	70	0.00%
	"Hampden County, MA"	"25013"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	71	0.00%
	"Middlesex County, MA"	"25017"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	71	0.00%
	"Washington County, MN"	"27163"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	71	0.00%
	"Spokane County, WA"	"53063"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	71	0.00%
	"Dane County, WI"	"55025"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	71	0.00%
	"Anchorage Borough, AK"	"02020"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	71	0.00%
	"Unidentified Counties, MN"	"27999"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	71	0.00%
	"Hinds County, MS"	"28049"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	71	0.00%
	"Hudson County, NJ"	"34017"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	71	0.00%
	"Middlesex County, NJ"	"34023"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	71	0.00%
	"Somerset County, NJ"	"34035"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	71	0.00%
	"Solano County, CA"	"06095"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	71	0.00%
	"Brevard County, FL"	"12009"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	71	0.00%
	"Franklin County, OH"	"39049"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	71	0.00%
	"Stark County, OH"	"39151"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	71	0.00%
	"Orange County, FL"	"12095"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	71	0.00%
	"Seminole County, FL"	"12117"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	71	0.00%
	"Unidentified Counties, OK"	"40999"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	71	0.00%
	"Lehigh County, PA"	"42077"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	71	0.00%
	"York County, PA"	"42133"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	71	0.00%
	"Hamilton County, IN"	"18057"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	71	0.00%
	"Sumter County, SC"	"45085"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	71	0.00%
	"Montgomery County, TN"	"47125"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	71	0.00%
	"Unidentified Counties, IN"	"18999"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	71	0.00%
	"Orleans Parish, LA"	"22071"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	71	0.00%
	"Unidentified Counties, LA"	"22999"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	71	0.00%
	"Chesapeake city, VA"	"51550"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	71	0.00%
	"Norfolk city, VA"	"51710"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	71	0.00%
	"Clark County, WA"	"53011"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	71	0.00%
	"Tompkins County, NY"	"36109"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	71	0.00%
	"Wayne County, MI"	"26163"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	72	0.00%
	"Jefferson County, AL"	"01073"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	72	0.00%
	"Greene County, MO"	"29077"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	72	0.00%
	"Passaic County, NJ"	"34031"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	72	0.00%
	"Passaic County, NJ"	"34031"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	72	0.00%
	"Santa Barbara County, CA"	"06083"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	72	0.00%
	"Shasta County, CA"	"06089"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	72	0.00%
	"Stanislaus County, CA"	"06099"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	72	0.00%
	"Stark County, OH"	"39151"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	72	0.00%
	"Hillsborough County, FL"	"12057"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	72	0.00%
	"Seminole County, FL"	"12117"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	72	0.00%
	"Seminole County, FL"	"12117"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	72	0.00%
	"Berks County, PA"	"42011"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	72	0.00%
	"Washington County, RI"	"44009"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	72	0.00%
	"DeKalb County, IL"	"17037"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	72	0.00%
	"Richland County, SC"	"45079"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	72	0.00%
	"Richland County, SC"	"45079"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	72	0.00%
	"Pierce County, WA"	"53053"	"Female"	"F"	"Unknown or Not Stated"	"9"	"37 - 39 weeks"	"06"	72	0.00%
	"Nassau County, NY"	"36059"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	72	0.00%
	"Unidentified Counties, NY"	"36999"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	72	0.00%
	"Middlesex County, MA"	"25017"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	73	0.00%
	"Genesee County, MI"	"26049"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	73	0.00%
	"Dane County, WI"	"55025"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	73	0.00%
	"Lee County, AL"	"01081"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	73	0.00%
	"Anchorage Borough, AK"	"02020"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	73	0.00%
	"Saline County, AR"	"05125"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	73	0.00%
	"Placer County, CA"	"06061"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	73	0.00%
	"Riverside County, CA"	"06065"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	73	0.00%
	"Washoe County, NV"	"32031"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	73	0.00%
	"Riverside County, CA"	"06065"	"Male"	"M"	"Unknown or Not Stated"	"9"	"40 weeks"	"07"	73	0.00%
	"Santa Barbara County, CA"	"06083"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	73	0.00%
	"Unidentified Counties, CA"	"06999"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	73	0.00%
	"Kent County, DE"	"10001"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	73	0.00%
	"Butler County, OH"	"39017"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	73	0.00%
	"Lake County, FL"	"12069"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	73	0.00%
	"Chatham County, GA"	"13051"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	73	0.00%
	"Chatham County, GA"	"13051"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	73	0.00%
	"Clayton County, GA"	"13063"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	73	0.00%
	"Marion County, OR"	"41047"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	73	0.00%
	"Allegheny County, PA"	"42003"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	73	0.00%
	"Bucks County, PA"	"42017"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	73	0.00%
	"Delaware County, PA"	"42045"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	73	0.00%
	"Lake County, IL"	"17097"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	73	0.00%
	"McHenry County, IL"	"17111"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	73	0.00%
	"Charleston County, SC"	"45019"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	73	0.00%
	"Hamilton County, TN"	"47065"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	73	0.00%
	"Lafayette Parish, LA"	"22055"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	73	0.00%
	"Rapides Parish, LA"	"22079"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	73	0.00%
	"Frederick County, MD"	"24021"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	73	0.00%
	"Tarrant County, TX"	"48439"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	73	0.00%
	"Utah County, UT"	"49049"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	73	0.00%
	"Utah County, UT"	"49049"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	73	0.00%
	"Clark County, WA"	"53011"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	73	0.00%
	"St. Lawrence County, NY"	"36089"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	73	0.00%
	"Unidentified Counties, MA"	"25999"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	74	0.00%
	"Jefferson County, AL"	"01073"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	74	0.00%
	"Montgomery County, AL"	"01101"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	74	0.00%
	"Monterey County, CA"	"06053"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	74	0.00%
	"Sacramento County, CA"	"06067"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	74	0.00%
	"Solano County, CA"	"06095"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	74	0.00%
	"Stanislaus County, CA"	"06099"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	74	0.00%
	"Tulare County, CA"	"06107"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	74	0.00%
	"Tulare County, CA"	"06107"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	74	0.00%
	"Yolo County, CA"	"06113"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	74	0.00%
	"El Paso County, CO"	"08041"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	74	0.00%
	"Brevard County, FL"	"12009"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	74	0.00%
	"Broward County, FL"	"12011"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	74	0.00%
	"Unidentified Counties, NC"	"37999"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	74	0.00%
	"St. Lucie County, FL"	"12111"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	74	0.00%
	"Volusia County, FL"	"12127"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	74	0.00%
	"Providence County, RI"	"44007"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	74	0.00%
	"Muscogee County, GA"	"13215"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	74	0.00%
	"Richmond County, GA"	"13245"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	74	0.00%
	"Maui County, HI"	"15009"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	74	0.00%
	"Sangamon County, IL"	"17167"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	74	0.00%
	"Winnebago County, IL"	"17201"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	74	0.00%
	"Hamilton County, IN"	"18057"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	74	0.00%
