"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate	% of Total Births	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average LMP Gestational Age (weeks)	Average Birth Weight (grams)	Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)	Average Interval Since Last Other Pregnancy Outcome (months)
	"Davidson County, NC"	"37057"	14101	1351876	10.43	238973	59.01	0.05%	27.66	38.14	38.57	3224.51	13.80	51.81	50.62
	"Durham County, NC"	"37063"	33243	2579083	12.89	604986	54.95	0.11%	30.10	38.47	38.63	3241.20	13.11	52.24	46.03
	"Forsyth County, NC"	"37067"	35269	3060669	11.52	623912	56.53	0.12%	28.77	38.26	38.58	3205.61	13.43	53.32	51.16
	"Gaston County, NC"	"37071"	21104	1813403	11.64	348560	60.55	0.07%	28.20	38.49	38.64	3215.29	11.23	53.24	51.90
	"Guilford County, NC"	"37081"	47996	4298025	11.17	924413	51.92	0.16%	29.05	38.28	38.47	3203.31	12.85	53.49	48.86
	"Harnett County, NC"	"37085"	14931	1087158	13.73	226389	65.95	0.05%	28.37	38.36	38.71	3274.03	10.61	49.78	49.35
	"Henderson County, NC"	"37089"	8301	936692	8.86	147519	56.27	0.03%	28.73	38.43	38.73	3263.33	12.73	51.88	54.82
	"Iredell County, NC"	"37097"	15483	1482213	10.45	272148	56.89	0.05%	28.87	38.35	38.65	3273.59	11.31	50.16	50.01
	"Johnston County, NC"	"37101"	20449	1719655	11.89	334722	61.09	0.07%	28.94	38.39	38.72	3281.54	12.31	53.06	47.86
	"Mecklenburg County, NC"	"37119"	118549	8896243	13.33	2036424	58.21	0.40%	29.93	38.44	38.63	3215.67	11.76	52.65	52.12
	"New Hanover County, NC"	"37129"	17457	1856832	9.40	394440	44.26	0.06%	29.85	38.33	38.52	3259.30	12.16	50.84	43.65
	"Onslow County, NC"	"37133"	30946	1607727	19.25	330438	93.65	0.10%	26.51	38.54	38.94	3319.16	11.63	45.48	42.04
	"Orange County, NC"	"37135"	9284	1180309	7.87	282881	32.82	0.03%	31.21	38.59	38.75	3286.89	11.69	51.69	40.05
	"Pitt County, NC"	"37147"	16374	1420672	11.53	349764	46.81	0.05%	28.35	38.08	38.38	3174.96	11.85	54.17	43.94
	"Randolph County, NC"	"37151"	12490	1156946	10.80	204860	60.97	0.04%	27.80	38.31	38.68	3273.41	12.49	54.16	48.17
	"Robeson County, NC"	"37155"	14343	1008652	14.22	199075	72.05	0.05%	26.52	38.32	38.46	3158.90	10.03	53.19	50.56
	"Rowan County, NC"	"37159"	12782	1155878	11.06	211235	60.51	0.04%	27.75	38.23	38.54	3210.58	11.07	52.58	50.99
	"Union County, NC"	"37179"	19474	1927471	10.10	368303	52.87	0.07%	29.70	38.47	38.71	3298.27	12.21	50.99	53.60
	"Wake County, NC"	"37183"	102825	8970831	11.46	1949173	52.75	0.34%	30.69	38.53	38.71	3284.81	12.11	49.93	48.20
	"Wayne County, NC"	"37191"	12925	971475	13.30	182772	70.72	0.04%	27.56	38.35	38.61	3240.37	11.31	54.11	47.64
	"Unidentified Counties, NC"	"37999"	248818	24337780	10.22	4141782	60.08	0.83%	27.72	38.27	38.53	3226.02	11.74	52.40	49.95
	"Cass County, ND"	"38017"	19667	1476037	13.32	340963	57.68	0.07%	29.62	38.49	38.75	3324.33	10.78	44.62	36.85
	"Unidentified Counties, ND"	"38999"	62928	4662891	13.50	858940	73.26	0.21%	28.48	38.42	38.61	3336.72	10.49	42.46	41.43
	"Allen County, OH"	"39003"	9814	817557	12.00	146247	67.11	0.03%	27.10	38.11	38.16	3214.99	11.82	44.99	43.09
	"Ashtabula County, OH"	"39007"	8497	778481	10.91	127363	66.71	0.03%	27.27	38.34	38.55	3257.16	9.69	44.54	44.34
	"Butler County, OH"	"39017"	34973	3080998	11.35	623244	56.11	0.12%	28.59	38.32	38.52	3278.19	11.63	47.72	43.41
	"Clark County, OH"	"39023"	12503	1076678	11.61	194328	64.34	0.04%	26.85	38.24	38.43	3239.95	9.96	46.56	45.36
	"Clermont County, OH"	"39025"	17940	1658998	10.81	301572	59.49	0.06%	28.71	38.38	38.61	3303.85	12.16	45.59	42.37
	"Columbiana County, OH"	"39029"	7898	814431	9.70	129318	61.07	0.03%	27.35	38.28	38.49	3271.35	12.69	45.47	38.20
	"Cuyahoga County, OH"	"39035"	108974	9923194	10.98	1929732	56.47	0.36%	29.05	38.21	38.37	3173.23	12.02	49.43	45.97
	"Delaware County, OH"	"39041"	16776	1703156	9.85	320620	52.32	0.06%	31.51	38.49	38.63	3327.83	12.19	42.95	41.45
	"Fairfield County, OH"	"39045"	13479	1269717	10.62	233623	57.70	0.05%	28.87	38.32	38.50	3286.34	11.62	46.21	41.97
	"Franklin County, OH"	"39049"	144338	10477476	13.78	2362003	61.11	0.48%	29.43	38.33	38.44	3225.13	11.16	46.55	45.02
	"Greene County, OH"	"39057"	13789	1345130	10.25	267280	51.59	0.05%	28.92	38.39	38.58	3324.01	11.69	44.70	40.01
	"Hamilton County, OH"	"39061"	84240	6553297	12.85	1337151	63.00	0.28%	29.00	38.29	38.43	3214.13	11.28	46.58	45.57
	"Lake County, OH"	"39085"	17000	1844468	9.22	319137	53.27	0.06%	29.61	38.39	38.59	3279.44	12.10	46.96	42.11
	"Licking County, OH"	"39089"	15364	1421338	10.81	263896	58.22	0.05%	28.46	38.42	38.54	3300.40	10.91	46.88	44.12
	"Lorain County, OH"	"39093"	25552	2495528	10.24	440639	57.99	0.09%	28.57	38.30	38.51	3246.47	11.98	45.68	38.98
	"Lucas County, OH"	"39095"	41296	3431234	12.04	669169	61.71	0.14%	27.85	38.22	38.39	3208.12	12.23	46.72	43.04
	"Mahoning County, OH"	"39099"	19096	1822198	10.48	312148	61.18	0.06%	28.12	38.06	38.26	3173.65	13.15	47.12	38.56
	"Medina County, OH"	"39103"	13458	1446042	9.31	250138	53.80	0.05%	30.31	38.57	38.75	3339.69	12.28	43.31	38.75
	"Miami County, OH"	"39109"	9327	860913	10.83	150508	61.97	0.03%	28.04	38.50	38.66	3342.33	11.63	45.56	40.24
	"Montgomery County, OH"	"39113"	50624	4261937	11.88	824047	61.43	0.17%	28.05	38.26	38.38	3241.16	11.18	48.40	42.55
	"Portage County, OH"	"39133"	10929	1298966	8.41	274993	39.74	0.04%	29.06	38.42	38.65	3284.82	12.16	46.78	40.37
	"Richland County, OH"	"39139"	10771	980418	10.99	162236	66.39	0.04%	26.97	38.38	38.63	3273.95	11.53	43.88	44.31
	"Stark County, OH"	"39151"	32190	2977313	10.81	534372	60.24	0.11%	27.94	38.43	38.60	3265.18	10.91	45.41	41.14
	"Summit County, OH"	"39153"	45309	4312573	10.51	805126	56.28	0.15%	28.88	38.39	38.56	3238.67	11.54	46.82	40.99
	"Trumbull County, OH"	"39155"	16293	1597957	10.20	268613	60.66	0.05%	27.56	38.29	38.43	3238.91	11.97	46.15	45.16
	"Warren County, OH"	"39165"	18978	1909611	9.94	344729	55.05	0.06%	30.02	38.43	38.63	3331.39	11.83	44.63	39.00
	"Wayne County, OH"	"39169"	11462	929658	12.33	167684	68.35	0.04%	28.52	38.73	38.91	3369.59	10.40	38.89	43.07
	"Wood County, OH"	"39173"	10262	1050051	9.77	230209	44.58	0.03%	28.94	38.37	38.58	3314.82	12.78	44.19	39.60
	"Unidentified Counties, OH"	"39999"	237489	21527433	11.03	3775770	62.90	0.79%	27.46	38.37	38.61	3300.55	11.43	43.55	41.20
	"Canadian County, OK"	"40017"	15155	1229118	12.33	253496	59.78	0.05%	28.54	38.26	38.51	3305.85	10.70	48.75	40.81
	"Cleveland County, OK"	"40027"	22347	2309422	9.68	520017	42.97	0.07%	28.50	38.20	38.37	3274.65	10.65	49.52	39.11
	"Comanche County, OK"	"40031"	13323	972615	13.70	196337	67.86	0.04%	26.79	38.28	38.48	3246.34	10.48	47.96	45.20
	"Oklahoma County, OK"	"40109"	90115	6374985	14.14	1332797	67.61	0.30%	28.13	38.19	38.33	3220.39	10.57	49.36	43.75
	"Tulsa County, OK"	"40143"	71214	5279791	13.49	1078335	66.04	0.24%	28.23	38.18	38.28	3241.53	10.84	48.93	49.26
	"Unidentified Counties, OK"	"40999"	181869	15629590	11.64	2880056	63.15	0.61%	26.77	38.21	38.42	3264.04	10.55	47.58	43.69
	"Clackamas County, OR"	"41005"	30768	3345479	9.20	612978	50.19	0.10%	30.42	38.73	38.92	3368.77	11.57	48.45	47.16
	"Deschutes County, OR"	"41017"	14683	1579502	9.30	287282	51.11	0.05%	30.33	38.90	38.89	3312.91	11.01	47.81	48.83
	"Douglas County, OR"	"41019"	8200	887199	9.24	139827	58.64	0.03%	27.72	38.68	38.93	3333.47	13.57	48.21	50.56
	"Jackson County, OR"	"41029"	17242	1762504	9.78	312981	55.09	0.06%	28.69	38.53	38.76	3311.08	11.17	50.99	45.01
	"Lane County, OR"	"41039"	25641	3035654	8.45	616847	41.57	0.09%	29.32	38.64	38.83	3342.07	11.89	51.41	46.13
	"Linn County, OR"	"41043"	11677	1027836	11.36	191176	61.08	0.04%	28.23	38.68	38.98	3380.30	11.67	47.25	44.06
	"Marion County, OR"	"41047"	32915	2762055	11.92	539514	61.01	0.11%	28.56	38.60	38.91	3348.77	11.87	51.60	49.81
	"Multnomah County, OR"	"41051"	63359	6435851	9.84	1480958	42.78	0.21%	31.00	38.71	38.86	3322.09	11.26	49.23	49.05
	"Washington County, OR"	"41067"	50393	4774389	10.55	1005501	50.12	0.17%	30.71	38.72	38.82	3323.70	11.09	49.99	45.81
	"Unidentified Counties, OR"	"41999"	76859	7995379	9.61	1408860	54.55	0.26%	28.47	38.62	38.84	3328.01	11.59	49.64	48.20
	"Adams County, PA"	"42001"	7377	829980	8.89	142386	51.81	0.02%	28.71	38.56	38.77	3329.74	12.22	47.56	35.70
	"Allegheny County, PA"	"42003"	99568	9790436	10.17	1913011	52.05	0.33%	30.37	38.46	38.60	3241.25	12.41	46.57	40.38
	"Beaver County, PA"	"42007"	12362	1322747	9.35	221038	55.93	0.04%	29.09	38.53	38.70	3292.90	11.67	45.39	39.31
	"Berks County, PA"	"42011"	36802	3387611	10.86	634227	58.03	0.12%	28.52	38.46	38.67	3279.19	14.33	48.44	40.06
	"Blair County, PA"	"42013"	9514	976507	9.74	168573	56.44	0.03%	28.04	38.64	38.88	3311.73	11.16	47.19	44.71
	"Bucks County, PA"	"42017"	45474	5076328	8.96	872125	52.14	0.15%	31.21	38.60	38.77	3321.93	11.41	46.96	42.80
	"Butler County, PA"	"42019"	13818	1528817	9.04	266463	51.86	0.05%	30.17	38.56	38.75	3323.71	12.33	43.47	37.50
	"Cambria County, PA"	"42021"	9769	1052656	9.28	172989	56.47	0.03%	28.10	38.36	38.65	3228.77	11.10	45.26	37.74
	"Centre County, PA"	"42027"	9038	1284557	7.04	292392	30.91	0.03%	30.23	38.85	39.03	3372.79	12.66	42.95	41.70
	"Chester County, PA"	"42029"	43296	4243655	10.20	783885	55.23	0.14%	31.30	38.68	38.84	3348.21	9.90	44.55	43.36
	"Cumberland County, PA"	"42041"	21100	2061458	10.24	388530	54.31	0.07%	29.74	38.67	38.84	3335.64	11.11	43.09	36.19
	"Dauphin County, PA"	"42043"	26696	2250121	11.86	429714	62.13	0.09%	28.80	38.44	38.58	3237.73	11.58	46.49	34.85
	"Delaware County, PA"	"42045"	51152	4552100	11.24	897098	57.02	0.17%	30.69	38.50	38.58	3267.89	10.21	48.78	39.26
	"Erie County, PA"	"42049"	22023	2165234	10.17	404783	54.41	0.07%	28.18	38.28	38.45	3228.47	10.86	46.45	48.45
	"Fayette County, PA"	"42051"	9915	1028679	9.64	166862	59.42	0.03%	27.45	38.32	38.56	3223.41	11.41	47.30	37.40
	"Franklin County, PA"	"42055"	13913	1244629	11.18	218988	63.53	0.05%	28.27	38.50	38.72	3307.83	11.24	46.34	39.60
	"Lackawanna County, PA"	"42069"	16515	1698939	9.72	308735	53.49	0.06%	29.25	38.44	38.65	3264.70	11.20	49.33	43.13
	"Lancaster County, PA"	"42071"	55987	4385746	12.77	821445	68.16	0.19%	29.08	38.66	38.85	3357.28	10.79	40.96	45.88
	"Lebanon County, PA"	"42075"	12556	1135143	11.06	201611	62.28	0.04%	28.32	38.52	38.63	3287.81	11.88	43.65	42.11
	"Lehigh County, PA"	"42077"	32791	2967471	11.05	573283	57.20	0.11%	29.04	38.48	38.66	3256.28	12.39	52.23	38.36
	"Luzerne County, PA"	"42079"	25651	2565581	10.00	449953	57.01	0.09%	28.42	38.47	38.69	3256.37	11.67	51.42	40.46
	"Lycoming County, PA"	"42081"	9239	908694	10.17	165200	55.93	0.03%	28.20	38.41	38.68	3295.24	11.20	47.16	41.53
	"Mercer County, PA"	"42085"	8386	881010	9.52	147086	57.01	0.03%	28.09	38.41	38.65	3261.98	10.67	45.37	45.08
	"Monroe County, PA"	"42089"	11472	1346600	8.52	242561	47.30	0.04%	29.36	38.43	38.56	3240.03	12.41	52.88	42.42
	"Montgomery County, PA"	"42091"	68139	6735191	10.12	1245950	54.69	0.23%	31.47	38.64	38.79	3308.28	11.31	45.48	37.98
	"Northampton County, PA"	"42095"	22378	2472928	9.05	453158	49.38	0.07%	29.85	38.55	38.68	3274.28	13.71	51.36	40.45
	"Philadelphia County, PA"	"42101"	160688	12589475	12.76	2922952	54.97	0.54%	29.10	38.31	38.42	3163.00	10.16	52.92	39.75
	"Schuylkill County, PA"	"42107"	10254	1140431	8.99	180246	56.89	0.03%	28.17	38.45	38.72	3268.29	11.18	48.70	41.64
	"Washington County, PA"	"42125"	15728	1666378	9.44	283307	55.52	0.05%	29.49	38.48	38.65	3286.66	11.47	44.92	43.10
	"Westmoreland County, PA"	"42129"	23063	2810959	8.20	447182	51.57	0.08%	29.41	38.46	38.68	3277.62	12.65	45.22	38.98
	"York County, PA"	"42133"	38379	3621995	10.60	654938	58.60	0.13%	28.75	38.46	38.66	3287.88	12.14	48.12	39.39
	"Unidentified Counties, PA"	"42999"	124532	13157758	9.46	2162630	57.58	0.42%	28.02	38.59	38.82	3306.94	11.01	44.35	43.09
	"Kent County, RI"	"44003"	11889	1334441	8.91	238854	49.78	0.04%	30.49	38.57	38.82	3331.09	12.44	49.89	47.53
	"Providence County, RI"	"44007"	56112	5158716	10.88	1077059	52.10	0.19%	29.47	38.51	38.72	3264.37	12.07	57.24	46.91
	"Washington County, RI"	"44009"	6844	1020844	6.70	190468	35.93	0.02%	31.23	38.67	38.88	3358.50	12.72	46.31	44.99
	"Unidentified Counties, RI"	"44999"	7911	1061171	7.45	184760	42.82	0.03%	31.32	38.70	38.90	3319.88	12.53	48.90	41.33
	"Aiken County, SC"	"45003"	15242	1370861	11.12	250913	60.75	0.05%	27.96	38.26	38.46	3230.84	10.88	51.58	48.75
	"Anderson County, SC"	"45007"	18270	1632286	11.19	305711	59.76	0.06%	27.63	38.19	38.46	3227.34	12.64	49.14	36.86
	"Beaufort County, SC"	"45013"	15221	1533584	9.93	239447	63.57	0.05%	28.47	38.42	38.58	3255.96	11.62	51.32	47.92
	"Berkeley County, SC"	"45015"	22961	1850855	12.41	371900	61.74	0.08%	28.68	38.23	38.46	3243.12	11.12	52.88	45.38
	"Charleston County, SC"	"45019"	39461	3289884	11.99	690463	57.15	0.13%	30.23	38.26	38.42	3222.16	11.21	47.89	44.66
	"Dorchester County, SC"	"45035"	15267	1298715	11.76	261844	58.31	0.05%	28.76	38.25	38.48	3243.27	11.14	52.52	44.77
	"Florence County, SC"	"45041"	12951	1101787	11.75	219029	59.13	0.04%	27.73	37.98	38.11	3109.75	12.37	54.50	39.85
	"Greenville County, SC"	"45045"	51203	4215664	12.15	843129	60.73	0.17%	29.14	38.31	38.51	3257.82	12.02	49.08	40.74
	"Horry County, SC"	"45051"	25636	2865445	8.95	472773	54.22	0.09%	28.27	38.18	38.37	3241.93	12.42	53.13	48.23
	"Lexington County, SC"	"45063"	25910	2389028	10.85	460193	56.30	0.09%	28.68	38.23	38.28	3259.05	12.21	51.14	47.95
	"Pickens County, SC"	"45077"	9627	1027332	9.37	216662	44.43	0.03%	27.57	38.34	38.61	3298.85	12.62	48.19	39.15
	"Richland County, SC"	"45079"	37216	3335538	11.16	774246	48.07	0.12%	28.94	38.08	38.23	3163.26	12.15	52.99	49.39
	"Spartanburg County, SC"	"45083"	31671	2606588	12.15	514637	61.54	0.11%	27.98	38.26	38.44	3253.16	12.57	49.95	45.89
	"Sumter County, SC"	"45085"	10892	846771	12.86	164984	66.02	0.04%	27.27	38.06	38.25	3157.42	11.48	51.99	45.92
	"York County, SC"	"45091"	23743	2250330	10.55	450278	52.73	0.08%	29.26	38.42	38.61	3259.53	12.19	51.14	51.74
	"Unidentified Counties, SC"	"45999"	101245	9668595	10.47	1686077	60.05	0.34%	27.16	38.09	38.28	3160.76	11.97	52.51	48.30
	"Minnehaha County, SD"	"46099"	22575	1569189	14.39	313123	72.10	0.08%	29.05	38.50	38.54	3308.30	11.12	44.78	43.28
	"Pennington County, SD"	"46103"	11554	903113	12.79	159091	72.63	0.04%	27.99	38.37	38.60	3291.41	10.40	45.94	48.62
	"Unidentified Counties, SD"	"46999"	58353	4646947	12.56	837514	69.67	0.20%	28.34	38.42	38.51	3325.11	10.19	42.68	42.84
	"Blount County, TN"	"47009"	10198	1076806	9.47	188025	54.24	0.03%	27.80	38.32	38.49	3287.22	12.60	50.63	45.47
	"Davidson County, TN"	"47037"	80187	5580991	14.37	1345707	59.59	0.27%	29.37	38.40	38.49	3239.26	9.78	49.63	48.69
	"Hamilton County, TN"	"47065"	34760	2946784	11.80	583374	59.58	0.12%	28.58	38.33	38.40	3231.65	11.14	47.50	42.20
	"Knox County, TN"	"47093"	42161	3811123	11.06	802000	52.57	0.14%	28.87	38.37	38.42	3267.74	12.66	48.11	45.47
	"Montgomery County, TN"	"47125"	28446	1728083	16.46	398820	71.33	0.10%	27.31	38.33	38.52	3259.85	10.74	47.75	49.64
	"Rutherford County, TN"	"47149"	34097	2701746	12.62	614372	55.50	0.11%	28.73	38.11	38.28	3239.77	10.70	51.77	53.21
	"Shelby County, TN"	"47157"	101701	7431378	13.69	1558715	65.25	0.34%	27.88	38.17	38.06	3132.94	9.56	51.80	50.28
	"Sullivan County, TN"	"47163"	11902	1270816	9.37	216042	55.09	0.04%	27.43	38.40	38.59	3278.30	11.14	49.62	43.88
	"Sumner County, TN"	"47165"	17633	1550010	11.38	294238	59.93	0.06%	28.67	38.29	38.53	3293.08	10.13	49.09	44.34
	"Washington County, TN"	"47179"	9967	1052423	9.47	211372	47.15	0.03%	28.10	38.37	38.63	3284.82	11.87	49.12	40.77
	"Williamson County, TN"	"47187"	18365	1941863	9.46	361798	50.76	0.06%	31.86	38.51	38.61	3358.22	10.72	44.37	44.57
	"Wilson County, TN"	"47189"	13552	1176781	11.52	222298	60.96	0.05%	29.28	38.31	38.46	3292.87	11.33	49.04	47.88
	"Unidentified Counties, TN"	"47999"	245747	22737438	10.81	3985360	61.66	0.82%	26.99	38.23	38.43	3251.25	11.21	48.91	47.51
	"Bell County, TX"	"48027"	48379	2937933	16.47	643425	75.19	0.16%	27.23	38.24	38.48	3225.59	11.11	49.58	46.75
	"Bexar County, TX"	"48029"	211542	16079129	13.16	3483280	60.73	0.71%	28.37	38.15	38.70	3215.77	10.95	51.92	49.03
	"Brazoria County, TX"	"48039"	37532	3008442	12.48	608216	61.71	0.13%	29.03	38.14	38.34	3236.19	10.11	51.39	50.45
	"Brazos County, TX"	"48041"	21629	1855520	11.66	500175	43.24	0.07%	28.27	38.25	38.53	3242.67	10.00	48.92	44.04
	"Cameron County, TX"	"48061"	49306	3392058	14.54	681764	72.32	0.17%	26.95	38.05	38.20	3194.96	11.57	52.68	49.63
	"Collin County, TX"	"48085"	94200	8484650	11.10	1781509	52.88	0.32%	30.72	38.38	38.56	3267.81	11.32	50.45	45.39
	"Comal County, TX"	"48091"	13516	1298747	10.41	229442	58.91	0.05%	29.31	38.24	38.52	3274.79	10.43	49.41	50.01
	"Dallas County, TX"	"48113"	301199	20895556	14.41	4585928	65.68	1.01%	28.57	38.42	38.54	3234.03	9.88	53.66	52.56
	"Denton County, TX"	"48121"	83869	7234616	11.59	1598331	52.47	0.28%	30.13	38.36	38.55	3276.69	10.61	49.63	46.93
	"Ector County, TX"	"48135"	23325	1297051	17.98	272020	85.75	0.08%	26.68	37.96	38.13	3161.70	10.33	53.85	54.05
	"Ellis County, TX"	"48139"	19596	1535830	12.76	310428	63.13	0.07%	28.45	38.36	38.55	3299.31	9.90	51.66	51.40
	"El Paso County, TX"	"48141"	92748	6806200	13.63	1424131	65.13	0.31%	27.24	38.18	38.41	3167.59	9.74	54.61	49.66
	"Fort Bend County, TX"	"48157"	75035	6609768	11.35	1361265	55.12	0.25%	30.95	38.14	38.25	3206.97	9.66	51.63	53.12
	"Galveston County, TX"	"48167"	31605	2763508	11.44	543057	58.20	0.11%	28.75	38.10	38.34	3219.42	10.27	52.98	56.19
	"Grayson County, TX"	"48181"	13278	1097270	12.10	202577	65.55	0.04%	27.36	38.28	38.52	3259.87	11.07	49.60	51.19
	"Gregg County, TX"	"48183"	13338	994880	13.41	196026	68.04	0.04%	27.07	38.06	38.35	3219.61	11.17	51.21	51.18
	"Guadalupe County, TX"	"48187"	15308	1364323	11.22	274266	55.81	0.05%	28.76	38.17	38.42	3254.71	10.52	50.64	50.69
	"Harris County, TX"	"48201"	532407	37737173	14.11	8188849	65.02	1.78%	28.90	38.17	38.29	3202.47	9.48	53.96	50.66
	"Hays County, TX"	"48209"	22566	1918250	11.76	457413	49.33	0.08%	29.47	38.37	38.62	3289.57	11.05	51.22	56.44
	"Hidalgo County, TX"	"48215"	112047	6987544	16.04	1482987	75.55	0.37%	27.09	37.89	38.10	3170.75	10.83	51.69	50.63
	"Jefferson County, TX"	"48245"	26517	2023701	13.10	379008	69.96	0.09%	27.33	38.15	38.28	3168.18	10.44	50.44	50.19
	"Johnson County, TX"	"48251"	18024	1443020	12.49	280638	64.23	0.06%	27.82	38.36	38.61	3315.08	9.56	50.84	51.87
	"Kaufman County, TX"	"48257"	16937	1165031	14.54	246049	68.84	0.06%	28.54	38.26	38.43	3269.31	10.41	50.80	51.25
	"Lubbock County, TX"	"48303"	32406	2494067	12.99	583101	55.58	0.11%	27.27	38.35	38.69	3218.48	11.13	48.31	48.44
	"McLennan County, TX"	"48309"	26836	2068687	12.97	450028	59.63	0.09%	27.55	38.28	38.50	3268.14	10.63	49.14	56.30
	"Midland County, TX"	"48329"	23491	1371963	17.12	291739	80.52	0.08%	27.74	38.18	38.31	3214.59	11.05	49.79	50.46
	"Montgomery County, TX"	"48339"	62019	4990534	12.43	984585	62.99	0.21%	29.11	38.37	38.48	3284.97	10.04	51.25	50.07
	"Nueces County, TX"	"48355"	35365	2867320	12.33	584638	60.49	0.12%	27.60	38.16	38.32	3199.31	9.39	50.91	55.57
	"Parker County, TX"	"48367"	13512	1188443	11.37	218919	61.72	0.05%	28.75	38.37	38.66	3309.44	10.51	47.51	49.72
	"Potter County, TX"	"48375"	13115	941196	13.93	182263	71.96	0.04%	26.71	38.25	38.31	3176.06	10.01	50.87	54.11
	"Randall County, TX"	"48381"	13131	1119075	11.73	232471	56.48	0.04%	27.84	38.38	38.52	3234.65	10.89	50.10	49.32
	"Smith County, TX"	"48423"	24147	1876112	12.87	377993	63.88	0.08%	27.89	38.26	38.49	3258.74	10.79	49.72	47.89
	"Tarrant County, TX"	"48439"	220418	16846159	13.08	3633687	60.66	0.74%	28.75	38.28	38.48	3238.38	9.16	51.41	52.02
	"Taylor County, TX"	"48441"	15878	1123024	14.14	247353	64.19	0.05%	27.13	38.07	38.28	3204.72	9.68	47.97	46.85
	"Tom Green County, TX"	"48451"	12045	951164	12.66	194570	61.91	0.04%	27.24	38.13	38.36	3224.16	11.59	51.01	47.77
	"Travis County, TX"	"48453"	125102	10215772	12.25	2407943	51.95	0.42%	30.20	38.46	38.65	3270.32	11.94	52.15	53.02
	"Webb County, TX"	"48479"	36889	2181103	16.91	462821	79.70	0.12%	26.89	38.02	38.14	3194.82	9.56	52.70	55.18
	"Wichita County, TX"	"48485"	12616	1051564	12.00	203685	61.94	0.04%	27.02	38.34	38.98	3278.00	11.68	49.55	50.96
	"Williamson County, TX"	"48491"	57366	4863023	11.80	1041746	55.07	0.19%	30.37	38.37	38.61	3285.09	12.27	50.34	49.71
	"Unidentified Counties, TX"	"48999"	457551	38207085	11.98	6840629	66.89	1.53%	27.05	38.22	38.43	3240.91	10.50	49.84	49.97
	"Cache County, UT"	"49005"	16888	1052535	16.05	259032	65.20	0.06%	28.15	38.32	38.45	3285.37	11.36	40.61	44.73
	"Davis County, UT"	"49011"	40659	2866784	14.18	609854	66.67	0.14%	29.17	38.29	38.48	3264.88	11.38	42.27	42.40
	"Salt Lake County, UT"	"49035"	125599	9294081	13.51	2058465	61.02	0.42%	29.22	38.38	38.56	3241.74	10.93	46.85	45.07
	"Utah County, UT"	"49049"	94593	5214825	18.14	1261988	74.96	0.32%	28.53	38.38	38.56	3286.46	11.04	39.68	43.51
	"Washington County, UT"	"49053"	17929	1451434	12.35	265368	67.56	0.06%	28.25	38.43	38.59	3296.02	10.49	43.87	44.75
	"Weber County, UT"	"49057"	28775	2087112	13.79	444169	64.78	0.10%	27.98	38.27	38.51	3230.41	10.79	45.63	43.16
	"Unidentified Counties, UT"	"49999"	51842	3939730	13.16	780101	66.46	0.17%	28.13	38.30	38.52	3231.56	10.94	44.16	46.89
	"Chittenden County, VT"	"50007"	11324	1324202	8.55	299701	37.78	0.04%	31.52	38.82	39.00	3363.85	12.18	45.45	40.91
	"Unidentified Counties, VT"	"50999"	31778	3737782	8.50	633198	50.19	0.11%	29.51	38.73	38.92	3336.02	12.37	47.80	41.44
	"Arlington County, VA"	"51013"	21621	1880624	11.50	473755	45.64	0.07%	32.77	38.65	38.82	3307.50	11.07	47.64	41.57
	"Chesterfield County, VA"	"51041"	31776	2875183	11.05	570877	55.66	0.11%	30.05	38.36	38.60	3279.11	11.22	52.70	49.81
	"Fairfax County, VA"	"51059"	105395	9156188	11.51	1811726	58.17	0.35%	31.81	38.51	38.75	3280.88	11.52	50.52	51.17
	"Henrico County, VA"	"51087"	30039	2650520	11.33	535503	56.09	0.10%	30.39	38.43	38.54	3255.19	11.74	52.47	49.87
	"Loudoun County, VA"	"51107"	39611	3323221	11.92	685261	57.80	0.13%	32.02	38.48	38.71	3290.08	11.76	49.46	48.25
	"Prince William County, VA"	"51153"	51358	3793167	13.54	781921	65.68	0.17%	30.27	38.46	38.72	3278.44	10.75	53.36	54.59
	"Spotsylvania County, VA"	"51177"	12515	1113897	11.24	214115	58.45	0.04%	29.18	38.45	38.79	3309.14	11.75	50.98	50.34
	"Stafford County, VA"	"51179"	14222	1240285	11.47	249919	56.91	0.05%	29.93	38.45	38.80	3304.76	11.58	51.88	52.81
	"Alexandria city, VA"	"51510"	19569	1259990	15.53	308857	63.36	0.07%	31.88	38.69	38.82	3297.20	11.63	48.86	45.78
	"Chesapeake city, VA"	"51550"	23052	1970460	11.70	398794	57.80	0.08%	29.30	38.30	38.72	3260.79	12.50	52.66	54.58
	"Hampton city, VA"	"51650"	13015	1087247	11.97	231134	56.31	0.04%	27.97	38.35	38.56	3209.75	11.77	53.47	51.52
	"Newport News city, VA"	"51700"	21015	1450137	14.49	320065	65.66	0.07%	27.91	38.34	38.55	3206.60	11.36	52.43	45.87
	"Norfolk city, VA"	"51710"	26008	1918453	13.56	428583	60.68	0.09%	27.74	38.25	38.53	3193.35	12.01	50.55	51.37
	"Richmond city, VA"	"51760"	24054	1826893	13.17	464365	51.80	0.08%	28.77	38.32	38.32	3165.09	10.50	53.67	50.69
